Inverter_ID,Season,Irradiance_Wm2,Temperature_C,Bus_Voltage_pu,Load_Demand_MW,Control_Scheme,Reactive_Power_Setting_MVAR,Voltage_Setting_pu,VOCR,Power_Loss_kW
PV2,Summer,556.35,29.6,1.074,0.437,Distributed,0.161,1.094,0.039,2.44
PV1,Monsoon,638.3,23.0,1.013,0.361,Decentralized,0.198,1.023,0.015,1.94
PV4,Summer,130.05,37.5,1.003,0.724,Distributed,0.076,1.023,0.049,2.03
PV1,Winter,427.32,18.8,0.957,0.34,Decentralized,0.155,0.967,0.041,2.67
PV4,Summer,759.37,42.9,1.003,0.771,Decentralized,0.222,1.013,0.034,2.23
PV2,Monsoon,838.34,41.3,1.07,0.671,Distributed,0.218,1.09,0.034,1.83
PV1,Monsoon,381.85,21.8,1.037,0.764,Decentralized,0.146,1.047,0.027,1.88
PV6,Monsoon,818.73,35.5,0.958,0.713,Decentralized,0.234,0.968,0.014,1.84
PV5,Monsoon,970.98,30.1,0.94,0.596,Distributed,0.244,0.96,0.029,1.84
PV3,Monsoon,871.19,21.8,0.953,0.441,Distributed,0.224,0.973,0.034,2.02
PV4,Summer,205.88,44.6,0.934,0.514,Distributed,0.091,0.954,0.044,2.07
PV6,Summer,765.76,10.9,0.919,0.667,Decentralized,0.223,0.929,0.032,2.58
PV3,Summer,387.7,18.8,0.984,0.756,Decentralized,0.148,0.994,0.022,2.33
PV3,Summer,989.57,28.2,0.923,0.846,Distributed,0.248,0.943,0.03,2.11
PV1,Monsoon,536.82,28.3,0.934,0.837,Distributed,0.157,0.954,0.038,1.75
PV3,Winter,210.19,30.6,1.009,0.981,Decentralized,0.112,1.019,0.036,2.55
PV5,Summer,752.67,36.3,0.933,0.5,Decentralized,0.221,0.943,0.021,2.38
PV6,Winter,390.71,31.8,0.913,0.35,Distributed,0.128,0.933,0.053,2.23
PV3,Summer,997.37,31.0,0.963,0.542,Distributed,0.249,0.983,0.051,2.15
PV1,Summer,981.8,11.9,0.944,0.82,Distributed,0.246,0.964,0.032,2.48
PV5,Winter,690.52,23.2,1.003,0.607,Distributed,0.188,1.023,0.054,2.23
PV2,Monsoon,216.84,18.1,0.92,0.872,Decentralized,0.113,0.93,0.029,2.04
PV6,Summer,718.17,19.3,1.05,0.685,Decentralized,0.214,1.06,0.037,2.39
PV3,Summer,183.73,29.4,1.081,0.951,Decentralized,0.107,1.091,0.036,2.26
PV1,Summer,126.43,17.0,1.049,0.964,Decentralized,0.095,1.059,0.029,2.21
PV2,Winter,840.66,20.3,1.007,0.349,Distributed,0.218,1.027,0.043,2.21
PV2,Monsoon,288.78,18.3,1.072,0.619,Decentralized,0.128,1.082,0.01,2.03
PV4,Winter,441.12,43.2,1.039,0.727,Distributed,0.138,1.059,0.036,2.29
PV5,Winter,976.11,43.1,0.902,0.479,Decentralized,0.265,0.912,0.034,2.39
PV3,Monsoon,403.16,31.3,0.979,0.585,Decentralized,0.151,0.989,0.018,1.93
PV1,Winter,366.84,42.4,1.07,0.774,Decentralized,0.143,1.08,0.029,2.35
PV4,Monsoon,926.39,37.5,0.969,0.459,Distributed,0.235,0.989,0.028,1.9
PV5,Summer,199.67,30.6,0.907,0.721,Decentralized,0.11,0.917,0.021,2.49
PV4,Monsoon,783.62,10.2,1.049,0.788,Distributed,0.207,1.069,0.037,1.89
PV6,Summer,989.26,37.0,1.06,0.363,Distributed,0.248,1.08,0.035,2.57
PV5,Winter,911.17,34.6,0.932,0.648,Decentralized,0.252,0.942,0.037,2.71
PV5,Winter,686.5,31.5,1.007,0.484,Distributed,0.187,1.027,0.047,2.4
PV3,Summer,382.65,36.6,0.938,0.807,Decentralized,0.147,0.948,0.019,2.24
PV5,Winter,328.89,28.0,1.044,0.433,Distributed,0.116,1.064,0.057,2.45
PV4,Monsoon,837.33,34.6,0.954,0.925,Decentralized,0.237,0.964,0.021,1.95
PV5,Summer,891.84,42.7,0.963,0.602,Distributed,0.228,0.983,0.036,2.17
PV3,Winter,572.89,23.2,1.069,0.439,Distributed,0.165,1.089,0.039,2.78
PV3,Summer,319.91,34.8,0.995,0.607,Decentralized,0.134,1.005,0.025,2.37
PV6,Monsoon,201.65,26.6,1.034,0.586,Decentralized,0.11,1.044,0.01,1.86
PV4,Monsoon,178.46,33.6,0.98,0.6,Decentralized,0.106,0.99,0.017,1.96
PV2,Winter,747.17,36.7,0.96,0.71,Decentralized,0.219,0.97,0.036,2.44
PV2,Monsoon,478.11,11.6,1.025,0.665,Distributed,0.146,1.045,0.037,2.03
PV5,Summer,914.82,32.6,0.931,0.405,Distributed,0.233,0.951,0.045,2.34
PV6,Monsoon,765.7,17.9,0.975,0.346,Distributed,0.203,0.995,0.022,1.72
PV1,Summer,272.13,33.5,0.942,0.811,Distributed,0.104,0.962,0.032,2.11
PV5,Summer,652.4,26.4,1.039,0.692,Decentralized,0.2,1.049,0.027,2.52
PV6,Monsoon,491.95,37.1,1.089,0.551,Distributed,0.148,1.109,0.024,1.93
PV4,Winter,619.52,14.3,1.099,0.866,Decentralized,0.194,1.109,0.026,2.77
PV4,Monsoon,764.26,31.9,0.99,0.572,Distributed,0.203,1.01,0.036,1.73
PV4,Summer,825.58,19.7,0.951,0.857,Decentralized,0.235,0.961,0.018,2.18
PV4,Summer,859.36,39.9,0.989,0.514,Decentralized,0.242,0.999,0.035,2.12
PV4,Monsoon,328.58,42.5,1.069,0.351,Decentralized,0.136,1.079,0.013,1.92
PV6,Winter,128.0,44.9,0.941,0.953,Decentralized,0.096,0.951,0.044,2.43
PV6,Winter,765.37,37.9,1.09,0.576,Decentralized,0.223,1.1,0.037,2.29
PV3,Summer,195.71,36.4,0.968,0.855,Distributed,0.089,0.988,0.046,2.39
PV2,Summer,383.43,17.5,1.097,0.495,Decentralized,0.147,1.107,0.02,2.32
PV4,Winter,103.44,21.8,1.068,0.752,Distributed,0.071,1.088,0.055,2.36
PV1,Monsoon,713.5,26.3,1.062,0.911,Distributed,0.193,1.082,0.037,1.89
PV6,Summer,250.42,37.1,0.964,0.329,Decentralized,0.12,0.974,0.031,2.45
PV1,Summer,689.75,42.0,0.902,0.881,Distributed,0.188,0.922,0.041,2.12
PV1,Winter,992.57,16.6,0.976,0.7,Distributed,0.249,0.996,0.052,2.38
PV1,Monsoon,165.4,42.3,0.96,0.725,Distributed,0.083,0.98,0.02,1.84
PV3,Winter,169.37,34.3,0.907,0.666,Decentralized,0.104,0.917,0.037,2.65
PV6,Monsoon,406.34,31.4,1.001,0.912,Decentralized,0.151,1.011,0.027,2.04
PV1,Monsoon,879.75,17.0,0.981,0.33,Decentralized,0.246,0.991,0.017,1.85
PV4,Monsoon,293.98,11.9,1.027,0.483,Decentralized,0.129,1.037,0.012,1.82
PV5,Summer,424.34,29.9,1.024,0.913,Distributed,0.135,1.044,0.039,2.53
PV1,Winter,161.65,32.8,0.924,0.827,Distributed,0.082,0.944,0.052,2.8
PV3,Winter,786.84,17.4,1.095,0.312,Distributed,0.207,1.115,0.037,2.6
PV6,Monsoon,467.48,29.5,0.937,0.662,Distributed,0.143,0.957,0.024,2.1
PV3,Summer,783.32,40.0,0.989,0.671,Distributed,0.207,1.009,0.032,2.4
PV1,Summer,913.25,39.2,0.998,0.581,Distributed,0.233,1.018,0.048,2.44
PV6,Winter,309.49,42.5,1.063,0.508,Decentralized,0.132,1.073,0.026,2.43
PV5,Summer,826.66,22.8,0.92,0.777,Distributed,0.215,0.94,0.045,2.26
PV1,Summer,153.18,21.1,0.986,0.445,Distributed,0.081,1.006,0.037,2.09
PV3,Monsoon,908.96,36.2,1.026,0.859,Distributed,0.232,1.046,0.035,2.03
PV2,Summer,685.69,25.1,0.943,0.862,Decentralized,0.207,0.953,0.037,2.56
PV4,Monsoon,886.8,13.1,1.025,0.591,Distributed,0.227,1.045,0.022,1.95
PV3,Winter,100.17,19.9,1.085,0.498,Distributed,0.07,1.105,0.042,2.41
PV6,Summer,252.17,24.7,1.1,0.499,Decentralized,0.12,1.11,0.034,2.09
PV1,Winter,450.78,20.2,0.906,0.638,Distributed,0.14,0.926,0.041,2.36
PV4,Winter,441.55,21.6,0.947,0.804,Decentralized,0.158,0.957,0.029,2.35
PV1,Summer,304.06,20.3,0.962,0.551,Decentralized,0.131,0.972,0.035,2.37
PV6,Summer,443.45,11.5,0.98,0.727,Distributed,0.139,1.0,0.053,2.57
PV1,Winter,215.96,32.3,0.948,0.568,Distributed,0.093,0.968,0.048,2.23
PV2,Summer,471.49,30.9,0.941,0.513,Decentralized,0.164,0.951,0.024,2.0
PV4,Monsoon,822.12,32.9,1.091,0.317,Distributed,0.214,1.111,0.028,1.94
PV4,Monsoon,531.16,16.7,1.084,0.303,Distributed,0.156,1.104,0.023,1.81
PV6,Summer,116.2,20.3,0.909,0.459,Decentralized,0.093,0.919,0.033,2.53
PV2,Winter,479.3,31.7,0.968,0.584,Decentralized,0.166,0.978,0.04,2.4
PV3,Summer,124.46,31.0,0.981,0.896,Distributed,0.075,1.001,0.05,2.17
PV1,Summer,969.62,27.7,0.948,0.859,Decentralized,0.264,0.958,0.019,2.16
PV5,Winter,214.71,22.3,1.026,0.487,Distributed,0.093,1.046,0.048,2.29
PV1,Winter,736.92,42.0,1.028,0.471,Distributed,0.197,1.048,0.04,2.55
PV1,Monsoon,975.5,21.9,1.07,0.459,Distributed,0.245,1.09,0.027,1.77
PV3,Winter,843.44,25.9,1.048,0.537,Distributed,0.219,1.068,0.053,2.45
PV1,Monsoon,729.38,33.7,1.009,0.649,Decentralized,0.216,1.019,0.014,1.88
PV2,Winter,855.51,29.0,1.031,0.607,Distributed,0.221,1.051,0.05,2.21
PV2,Summer,983.62,22.1,0.955,0.453,Decentralized,0.267,0.965,0.031,2.01
PV4,Monsoon,659.21,25.2,1.019,0.391,Distributed,0.182,1.039,0.039,1.91
PV6,Monsoon,603.27,37.8,0.998,0.309,Distributed,0.171,1.018,0.036,1.98
PV5,Monsoon,665.41,19.7,0.927,0.408,Decentralized,0.203,0.937,0.026,2.08
PV1,Summer,579.41,15.0,0.949,0.794,Distributed,0.166,0.969,0.041,2.11
PV1,Summer,671.58,21.0,0.958,0.471,Decentralized,0.204,0.968,0.022,2.06
PV3,Summer,504.86,39.7,1.085,0.628,Decentralized,0.171,1.095,0.027,2.03
PV6,Summer,296.6,13.1,0.946,0.714,Distributed,0.109,0.966,0.042,2.26
PV2,Summer,208.22,44.7,0.958,0.921,Distributed,0.092,0.978,0.045,2.37
PV5,Monsoon,161.51,28.9,0.974,0.922,Distributed,0.082,0.994,0.032,2.04
PV4,Summer,336.98,44.5,1.033,0.822,Distributed,0.117,1.053,0.038,2.41
PV2,Monsoon,141.51,42.9,0.924,0.325,Decentralized,0.098,0.934,0.015,1.78
PV6,Summer,610.45,25.8,1.091,0.703,Distributed,0.172,1.111,0.032,2.28
PV4,Winter,355.45,16.9,1.073,0.851,Distributed,0.121,1.093,0.051,2.75
PV3,Monsoon,842.08,15.8,1.015,0.312,Distributed,0.218,1.035,0.033,1.83
PV3,Winter,166.82,18.4,1.035,0.685,Distributed,0.083,1.055,0.051,2.5
PV1,Monsoon,303.72,34.9,0.903,0.9,Distributed,0.111,0.923,0.027,2.08
PV6,Winter,757.22,19.6,0.968,0.632,Decentralized,0.221,0.978,0.03,2.64
PV5,Summer,638.93,21.9,1.059,0.303,Distributed,0.178,1.079,0.047,2.45
PV4,Summer,158.04,25.7,0.915,0.308,Decentralized,0.102,0.925,0.033,2.15
PV2,Summer,889.52,42.0,0.956,0.592,Distributed,0.228,0.976,0.039,2.25
PV6,Monsoon,889.54,16.6,1.017,0.409,Distributed,0.228,1.037,0.032,1.73
PV6,Winter,397.37,10.2,0.951,0.765,Distributed,0.129,0.971,0.044,2.56
PV3,Summer,406.37,12.1,1.087,0.796,Decentralized,0.151,1.097,0.032,2.06
PV1,Winter,990.13,41.7,0.926,0.425,Distributed,0.248,0.946,0.054,2.7
PV1,Winter,663.56,32.7,1.059,0.922,Decentralized,0.203,1.069,0.039,2.69
PV4,Summer,578.18,19.6,1.002,0.609,Decentralized,0.186,1.012,0.028,2.32
PV3,Summer,854.34,16.2,1.05,0.4,Distributed,0.221,1.07,0.039,2.08
PV6,Winter,356.76,20.3,0.962,0.835,Decentralized,0.141,0.972,0.038,2.22
PV5,Summer,486.26,14.0,1.003,0.853,Distributed,0.147,1.023,0.045,2.48
PV3,Summer,341.0,43.0,1.071,0.748,Distributed,0.118,1.091,0.042,2.36
PV4,Summer,810.24,37.4,0.993,0.897,Decentralized,0.232,1.003,0.03,2.43
PV4,Monsoon,616.01,26.2,0.972,0.816,Distributed,0.173,0.992,0.022,1.82
PV3,Winter,692.94,40.3,1.007,0.918,Distributed,0.189,1.027,0.057,2.51
PV4,Winter,327.08,18.7,1.043,0.604,Decentralized,0.135,1.053,0.041,2.65
PV3,Monsoon,298.2,35.1,0.989,0.823,Decentralized,0.13,0.999,0.017,1.89
PV2,Winter,539.54,40.0,1.088,1.0,Decentralized,0.178,1.098,0.036,2.56
PV3,Summer,763.81,22.5,0.959,0.807,Decentralized,0.223,0.969,0.019,2.47
PV3,Winter,572.72,36.5,0.995,0.38,Decentralized,0.185,1.005,0.026,2.33
PV4,Summer,129.38,20.3,1.051,0.663,Decentralized,0.096,1.061,0.023,2.04
PV4,Monsoon,881.7,20.5,1.038,0.711,Distributed,0.226,1.058,0.034,1.91
PV1,Summer,158.22,13.7,1.073,0.422,Decentralized,0.102,1.083,0.035,2.04
PV1,Winter,960.24,25.4,1.099,0.974,Decentralized,0.262,1.109,0.036,2.66
PV2,Winter,122.63,35.5,0.985,0.423,Distributed,0.075,1.005,0.047,2.63
PV1,Winter,725.01,42.9,0.922,0.424,Distributed,0.195,0.942,0.044,2.73
PV3,Monsoon,173.99,31.1,0.906,0.941,Decentralized,0.105,0.916,0.013,1.96
PV4,Monsoon,919.61,40.2,1.045,0.626,Decentralized,0.254,1.055,0.012,1.73
PV1,Winter,517.99,38.8,1.075,0.344,Distributed,0.154,1.095,0.052,2.35
PV1,Summer,223.77,16.1,0.944,0.719,Decentralized,0.115,0.954,0.037,2.48
PV2,Monsoon,406.73,27.0,0.932,0.721,Decentralized,0.151,0.942,0.019,1.77
PV6,Winter,248.34,14.1,0.912,0.345,Distributed,0.1,0.932,0.05,2.62
PV2,Winter,253.52,33.9,1.065,0.981,Decentralized,0.121,1.075,0.043,2.67
PV3,Monsoon,953.3,43.2,0.962,0.681,Distributed,0.241,0.982,0.022,1.83
PV4,Monsoon,500.72,14.8,0.98,0.692,Decentralized,0.17,0.99,0.025,1.83
PV2,Monsoon,809.92,35.7,1.001,0.664,Distributed,0.212,1.021,0.032,1.92
PV1,Summer,675.65,32.1,1.068,0.728,Distributed,0.185,1.088,0.043,2.52
PV4,Summer,708.78,30.4,1.03,0.485,Distributed,0.192,1.05,0.035,2.13
PV4,Winter,218.52,23.7,1.023,0.501,Decentralized,0.114,1.033,0.039,2.76
PV1,Monsoon,310.77,22.4,0.935,0.658,Distributed,0.112,0.955,0.036,1.94
PV2,Summer,808.08,11.6,1.003,0.865,Decentralized,0.232,1.013,0.02,2.6
PV1,Monsoon,973.69,17.6,1.043,0.335,Distributed,0.245,1.063,0.031,1.74
PV6,Winter,336.41,10.5,1.095,0.722,Distributed,0.117,1.115,0.037,2.28
PV4,Summer,344.41,30.3,0.94,0.865,Distributed,0.119,0.96,0.05,2.5
PV5,Summer,525.61,13.7,0.902,0.41,Decentralized,0.175,0.912,0.028,2.52
PV5,Summer,985.46,40.6,0.915,0.311,Decentralized,0.267,0.925,0.034,2.27
PV3,Winter,342.06,28.3,0.975,0.519,Distributed,0.118,0.995,0.043,2.63
PV1,Monsoon,466.27,34.5,1.064,0.712,Decentralized,0.163,1.074,0.013,2.05
PV1,Summer,902.33,24.4,0.901,0.397,Decentralized,0.25,0.911,0.019,2.03
PV3,Winter,102.63,29.6,0.991,0.598,Decentralized,0.091,1.001,0.031,2.54
PV3,Monsoon,135.79,43.0,0.966,0.687,Distributed,0.077,0.986,0.025,2.04
PV3,Winter,643.66,12.9,0.91,0.719,Decentralized,0.199,0.92,0.036,2.44
PV4,Monsoon,916.64,18.9,0.99,0.492,Distributed,0.233,1.01,0.02,1.82
PV6,Winter,314.97,37.3,0.951,0.58,Distributed,0.113,0.971,0.047,2.68
PV1,Monsoon,522.68,13.5,0.97,0.845,Distributed,0.155,0.99,0.028,1.83
PV4,Summer,505.42,12.6,1.041,0.959,Decentralized,0.171,1.051,0.03,2.0
PV3,Monsoon,525.67,22.7,1.004,0.903,Distributed,0.155,1.024,0.034,2.08
PV1,Winter,660.27,13.2,0.925,0.695,Decentralized,0.202,0.935,0.038,2.56
PV4,Winter,522.77,30.5,1.092,0.587,Decentralized,0.175,1.102,0.045,2.69
PV6,Monsoon,502.72,17.9,1.027,0.533,Distributed,0.151,1.047,0.023,2.03
PV4,Summer,526.86,41.3,1.053,0.387,Distributed,0.155,1.073,0.039,2.04
PV6,Summer,631.78,37.4,0.916,0.375,Distributed,0.176,0.936,0.039,2.1
